potential_aed_id,intervention_id,intervention_lat,intervention_lon,distance_to_potential_aed,distance_to_existing_aed,existing_aed_id,existing_aed_lat,existing_aed_lon,arrest_count,potential_aed_lat,potential_aed_lon
2459,[16944],[50.68517],[3.45919],[1.2245315195800794],[2.1668054838626762],[8066],[50.7042555],[3.452981],1,50.69191919191919,3.4454545454545453
2460,[15311],[50.71291],[3.45302],[0.5398558266179632],[0.6054570038755552],[5701],[50.7100061],[3.4602939],1,50.71212121212121,3.4454545454545453
2541,[18037],[50.3292],[3.48745],[0.21095782759936235],[14.302514430573318],[5536],[50.3303371],[3.6889335],1,50.32828282828283,3.484848484848485
2543,[13065],[50.37628],[3.5021],[1.486521541575202],[12.917491407867162],[1937],[50.4044417],[3.6788768],1,50.36868686868687,3.484848484848485
2544,[11337],[50.38627],[3.4965],[0.8758826061186651],[13.084778785168867],[1937],[50.4044417],[3.6788768],1,50.388888888888886,3.484848484848485
2549,[18261],[50.4911],[3.4703],[1.0378300828616436],[2.984363936232432],[1651],[50.5120542],[3.4439334],1,50.48989898989899,3.484848484848485
2550,[17877],[50.51203],[3.50185],[1.221197484250692],[1.9183673444513931],[12058],[50.517971],[3.5273221],1,50.51010101010101,3.484848484848485
2551,"[12230, 13088, 17755]","[50.53062, 50.52958, 50.52979]","[3.46819, 3.46816, 3.46658]","[1.17799981241529, 1.1823425277320463, 1.2925429712048904]","[2.024848438977261, 2.133709231035272, 2.153444924938183]","[10983, 10983, 10983]","[50.5475806, 50.5475806, 50.5475806]","[3.4786197, 3.4786197, 3.4786197]",3,50.53030303030303,3.484848484848485
2552,"[11608, 14771, 15291]","[50.55105, 50.55025, 50.54407]","[3.50297, 3.50355, 3.4935]","[1.2817653584767885, 1.3216262669626149, 0.9411105202226715]","[1.7631866899093995, 1.786294000635699, 1.1215670667013284]","[10983, 10983, 10983]","[50.5475806, 50.5475806, 50.5475806]","[3.4786197, 3.4786197, 3.4786197]",3,50.55050505050505,3.484848484848485
2554,"[11969, 13184, 13975, 16067, 16216, 16832, 17056]","[50.58678, 50.58669, 50.58653, 50.58755, 50.5868, 50.59183, 50.5884]","[3.49114, 3.49673, 3.49456, 3.49487, 3.49419, 3.48305, 3.48878]","[0.6388081130462061, 0.9610672801320662, 0.840915649414628, 0.8000151762451111, 0.8022882248430551, 0.16310803374702448, 0.3935351499684843]","[1.128765899583066, 1.3604861808001376, 1.278452779016264, 1.202328542033396, 1.238822862054552, 0.45097848249569994, 0.8954992515805409]","[969, 969, 969, 969, 969, 969, 969]","[50.5958457, 50.5958457, 50.5958457, 50.5958457, 50.5958457, 50.5958457, 50.5958457]","[3.4839456, 3.4839456, 3.4839456, 3.4839456, 3.4839456, 3.4839456, 3.4839456]",7,50.59090909090909,3.484848484848485
