potential_aed_id,arrest_count,distance_to_potential_aed,potential_aed_lat,potential_aed_lon,intervention_id,intervention_lat,intervention_lon,existing_aed_id,distance_to_existing_aed,existing_aed_lat,existing_aed_lon
6292,3,"[0.4653800490903347, 0.4653800490903347, 0.4653800490903347]",51.35858585858586,4.942424242424243,"[38892, 38893, 38894]","[51.35644, 51.35644, 51.35644]","[4.93667, 4.93667, 4.93667]","[5609, 5609, 5609]","[1.756051405781531, 1.756051405781531, 1.756051405781531]","[51.3638371, 51.3638371, 51.3638371]","[4.9590155, 4.9590155, 4.9590155]"
5160,3,"[0.2991607736434427, 0.2991607736434427, 0.2991607736434427]",50.71212121212121,4.50909090909091,"[12968, 13034, 13035]","[50.71264, 50.71264, 50.71264]","[4.51326, 4.51326, 4.51326]","[12643, 12643, 12643]","[0.3492979885577843, 0.3492979885577843, 0.3492979885577843]","[50.7095105, 50.7095105, 50.7095105]","[4.5136898, 4.5136898, 4.5136898]"
6223,3,"[1.4632373592684969, 0.990323125439974, 1.1641103381519569]",49.964646464646464,4.942424242424243,"[43643, 43650, 47172]","[49.95846, 49.9577, 49.95656]","[4.92437, 4.93376, 4.95276]","[1808, 1808, 2816]","[2.8338402611482363, 2.805590468702004, 2.8781507399066704]","[49.9829041, 49.9829041, 49.940084]","[4.9355804, 4.9355804, 4.9837833]"
9347,3,"[1.4518118045208377, 1.4518118045208377, 0.5362638070199564]",50.44949494949495,6.163636363636364,"[31226, 31227, 35342]","[50.45756, 50.45756, 50.4457]","[6.14751, 6.14751, 6.16831]","[3896, 3896, 5199]","[1.5792612364660863, 1.5792612364660863, 2.0856181274722876]","[50.4717544, 50.4717544, 50.4476811]","[6.1467502, 6.1467502, 6.197599599999999]"
7966,2,"[0.6692367262445678, 0.6692367262445678]",50.833333333333336,5.612121212121212,"[35607, 35608]","[50.82745, 50.82745]","[5.61413, 5.61413]","[8071, 8071]","[0.7641158142188318, 0.7641158142188318]","[50.8224227, 50.8224227]","[5.6215465, 5.6215465]"
9538,2,"[1.5116133330799897, 1.5116133330799897]",50.26767676767677,6.242424242424242,"[34587, 34588]","[50.27726, 50.27726]","[6.25751, 6.25751]","[11752, 11752]","[4.911917174046128, 4.911917174046128]","[50.3211812, 50.3211812]","[6.2501232, 6.2501232]"
7357,2,"[0.8171999294151097, 0.8171999294151097]",50.65151515151515,5.375757575757576,"[34129, 34130]","[50.64801, 50.64801]","[5.36557, 5.36557]","[2590, 2590]","[0.8714841728111828, 0.8714841728111828]","[50.6536352, 50.6536352]","[5.3569628, 5.3569628]"
9345,2,"[1.2590357128736374, 1.2590357128736374]",50.40909090909091,6.163636363636364,"[31551, 31552]","[50.40855, 50.40855]","[6.14589, 6.14589]","[2111, 2111]","[1.4797171096157269, 1.4797171096157269]","[50.395246, 50.395246]","[6.146363, 6.146363]"
9540,2,"[0.9718775403967318, 0.9718775403967318]",50.30808080808081,6.242424242424242,"[29071, 29072]","[50.30035, 50.30035]","[6.23604, 6.23604]","[11752, 11752]","[2.522993980714609, 2.522993980714609]","[50.3211812, 50.3211812]","[6.2501232, 6.2501232]"
9646,2,"[1.6275645145863378, 1.6275645145863378]",50.42929292929293,6.281818181818182,"[30472, 30473]","[50.43778, 50.43778]","[6.30054, 6.30054]","[11631, 11631]","[4.35148879985411, 4.35148879985411]","[50.409065, 50.409065]","[6.2588081, 6.2588081]"
9645,2,"[0.8315460441093966, 0.8315460441093966]",50.40909090909091,6.281818181818182,"[28698, 28699]","[50.4112, 50.4112]","[6.27056, 6.27056]","[11631, 11631]","[0.8659540877882314, 0.8659540877882314]","[50.409065, 50.409065]","[6.2588081, 6.2588081]"
7952,2,"[0.8775222604096566, 1.6377395045395118]",50.55050505050505,5.612121212121212,"[28363, 31596]","[50.54268, 50.54133]","[5.61051, 5.59399]","[4719, 4719]","[2.510776167145253, 1.7356406204767818]","[50.5540927, 50.5540927]","[5.579848, 5.579848]"
9442,2,"[0.2899321241636701, 0.2899321241636701]",50.34848484848485,6.203030303030303,"[34040, 34041]","[50.34941, 50.34941]","[6.19921, 6.19921]","[10258, 10258]","[2.0377027296841597, 2.0377027296841597]","[50.3517514, 50.3517514]","[6.170726, 6.170726]"
